title,year,rating,genre,runtime,director,cast
21,2008,6.8,"['Crime', 'Drama', 'History', 'Thriller']",123,Robert Luketic,"['Jim Sturgess', 'Kevin Spacey', 'Kate Bosworth', 'Aaron Yoo', 'Liza Lapira']"
A Few Good Men,1992,7.7,"['Drama', 'Thriller']",138,Rob Reiner,"['Tom Cruise', 'Jack Nicholson', 'Demi Moore', 'Kevin Bacon', 'Kiefer Sutherland']"
Akira,1988,8.1,"['Animation', 'Drama', 'Sci-Fi', 'Thriller']",124,Katsuhiro Ôtomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda', 'Hiroshi Ôtake']"
American Psycho,2000,7.6,"['Crime', 'Drama']",101,Mary Harron,"['Christian Bale', 'Justin Theroux', 'Josh Lucas', 'Bill Sage', 'Chloë Sevigny']"
Apocalypse Now,1979,8.5,"['Drama', 'War']",147,Francis Ford Coppola,"['Marlon Brando', 'Martin Sheen', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms']"
The Aviator,2004,7.5,"['Biography', 'Drama']",170,Martin Scorsese,"['Leonardo DiCaprio', 'Cate Blanchett', 'Kate Beckinsale', 'John C. Reilly', 'Alec Baldwin']"
Birdman or (The Unexpected Virtue of Ignorance),2014,7.7,"['Comedy', 'Drama']",119,Alejandro G. Iñárritu,"['Michael Keaton', 'Emma Stone', 'Kenny Chin', 'Jamahl Garrison-Lowe', 'Zach Galifianakis']"
Black Hawk Down,2001,7.7,"['Drama', 'History', 'War']",144,Ridley Scott,"['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana', 'William Fichtner']"
Black Swan,2010,8.0,"['Drama', 'Thriller']",108,Darren Aronofsky,"['Natalie Portman', 'Mila Kunis', 'Vincent Cassel', 'Barbara Hershey', 'Winona Ryder']"
Blade Runner,1982,8.2,"['Sci-Fi', 'Thriller']",117,Ridley Scott,"['Harrison Ford', 'Rutger Hauer', 'Sean Young', 'Edward James Olmos', 'M. Emmet Walsh']"
Blood Diamond,2006,8.0,"['Adventure', 'Drama', 'Thriller']",143,Edward Zwick,"['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers', 'Arnold Vosloo']"
Children of Men,2006,7.9,"['Drama', 'Sci-Fi', 'Thriller']",109,Alfonso Cuarón,"['Clive Owen', 'Juan Gabriel Yacuzzi', 'Michael Caine', 'Mishal Husain', 'Rob Curling']"
City of God,2002,8.6,"['Crime', 'Drama']",130,Fernando Meirelles,"['Alexandre Rodrigues', 'Leandro Firmino', 'Phellipe Haagensen', 'Douglas Silva', 'Jonathan Haagensen']"
Drive,2011,7.8,"['Crime', 'Drama']",100,Nicolas Winding Refn,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston', 'Albert Brooks', 'Oscar Isaac']"
Fear and Loathing in Las Vegas,1998,7.7,"['Adventure', 'Comedy', 'Drama']",118,Terry Gilliam,"['Johnny Depp', 'Benicio Del Toro', 'Tobey Maguire', 'Michael Lee Gogin', 'Larry Cedar']"
Gladiator,2000,8.5,"['Action', 'Adventure', 'Drama']",155,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed', 'Richard Harris']"
Headhunters,2011,7.6,"['Action', 'Crime', 'Thriller']",96,Morten Tyldum,"['Aksel Hennie', 'Synnøve Macody Lund', 'Nikolaj Coster-Waldau', 'Eivind Sander', 'Julie R. Ølgaard']"
Heat,1995,8.2,"['Crime', 'Drama', 'Thriller']",170,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight', 'Tom Sizemore']"
Hero,2002,7.9,"['Action', 'Adventure', 'History']",107,Yimou Zhang,"['Jet Li', 'Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ziyi Zhang', 'Daoming Chen']"
Inception,2010,8.8,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",148,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ellen Page', 'Tom Hardy', 'Ken Watanabe']"
Interstellar,2014,8.6,"['Adventure', 'Drama', 'Sci-Fi']",169,Christopher Nolan,"['Ellen Burstyn', 'Matthew McConaughey', 'Mackenzie Foy', 'John Lithgow', 'Timothée Chalamet']"
Kingdom of Heaven,2005,7.2,"['Action', 'Adventure', 'Drama', 'History', 'War']",144,Ridley Scott,"['Martin Hancock', 'Michael Sheen', 'Nathalie Cox', 'Eriq Ebouaney', 'Jouko Ahola']"
Castle in the Sky,1986,8.1,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy', 'Sci-Fi']",125,Hayao Miyazaki,"['Anna Paquin', 'James Van Der Beek', 'Cloris Leachman', 'Mark Hamill', 'Richard Dysart']"
Léon: The Professional,1994,8.6,"['Action', 'Crime', 'Drama', 'Thriller']",110,Luc Besson,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello', 'Peter Appel']"
Life of Pi,2012,7.9,"['Adventure', 'Drama', 'Fantasy']",127,Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Ayush Tandon', 'Gautam Belur', 'Adil Hussain']"
Magnolia,1999,8.0,['Drama'],188,Paul Thomas Anderson,"['Pat Healy', 'Genevieve Zweig', 'Mark Flanagan', 'Neil Flynn', 'Rod McLachlan']"
Minority Report,2002,7.6,"['Action', 'Crime', 'Mystery', 'Sci-Fi', 'Thriller']",145,Steven Spielberg,"['Tom Cruise', 'Max von Sydow', 'Steve Harris', 'Neal McDonough', 'Patrick Kilpatrick']"
Moon,2009,7.9,"['Drama', 'Mystery', 'Sci-Fi']",97,Duncan Jones,"['Sam Rockwell', 'Kevin Spacey', 'Dominique McElligott', 'Rosie Shaw', 'Adrienne Shaw']"
Nightcrawler,2014,7.9,"['Crime', 'Drama', 'Thriller']",117,Dan Gilroy,"['Jake Gyllenhaal', 'Michael Papajohn', 'Marco Rodríguez', 'Bill Paxton', 'James Huang']"
No Country for Old Men,2007,8.1,"['Crime', 'Drama', 'Thriller']",122,Ethan Coen,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin', 'Woody Harrelson', 'Kelly Macdonald']"
Princess Mononoke,1997,8.4,"['Animation', 'Adventure', 'Fantasy']",134,Hayao Miyazaki,"['Billy Crudup', 'Billy Bob Thornton', 'Minnie Driver', 'John DiMaggio', 'Claire Danes']"
Road to Perdition,2002,7.7,"['Crime', 'Drama', 'Thriller']",117,Sam Mendes,"['Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken', 'Jennifer Jason Leigh', 'Tom Hanks']"
Saving Private Ryan,1998,8.6,"['Drama', 'War']",169,Steven Spielberg,"['Tom Hanks', 'Tom Sizemore', 'Edward Burns', 'Barry Pepper', 'Adam Goldberg']"
Scott Pilgrim vs. the World,2010,7.5,"['Action', 'Comedy', 'Fantasy', 'Romance']",112,Edgar Wright,"['Michael Cera', 'Kieran Culkin', 'Anna Kendrick', 'Alison Pill', 'Aubrey Plaza']"
Shutter Island,2010,8.1,"['Mystery', 'Thriller']",138,Martin Scorsese,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Max von Sydow', 'Michelle Williams']"
Sin City,2005,8.0,"['Crime', 'Thriller']",124,Frank Miller,"['Jessica Alba', 'Devon Aoki', 'Alexis Bledel', 'Powers Boothe', 'Cara D. Briggs']"
Starship Troopers,1997,7.2,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",129,Paul Verhoeven,"['Casper Van Dien', 'Dina Meyer', 'Denise Richards', 'Jake Busey', 'Neil Patrick Harris']"
Steve Jobs,2015,7.2,"['Biography', 'Drama']",122,Danny Boyle,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen', 'Jeff Daniels', 'Michael Stuhlbarg']"
Straight Outta Compton,2015,7.9,"['Biography', 'Drama', 'History', 'Music']",147,F. Gary Gray,"[""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell', 'Neil Brown Jr.', 'Aldis Hodge']"
The Descendants,2011,7.3,"['Comedy', 'Drama']",115,Alexander Payne,"['George Clooney', 'Shailene Woodley', 'Amara Miller', 'Nick Krause', 'Patricia Hastie']"
The Grand Budapest Hotel,2014,8.1,"['Adventure', 'Comedy', 'Crime', 'Drama']",99,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody', 'Willem Dafoe']"
The Iron Giant,1999,8.0,"['Animation', 'Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Sci-Fi']",86,Brad Bird,"['Jennifer Aniston', 'Harry Connick Jr.', 'Vin Diesel', 'James Gammon', 'Cloris Leachman']"
The Matrix,1999,8.7,"['Action', 'Sci-Fi']",136,Lana Wachowski,"['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving', 'Gloria Foster']"
The Place Beyond the Pines,2012,7.3,"['Crime', 'Drama', 'Thriller']",140,Derek Cianfrance,"['Ryan Gosling', 'Craig Van Hook', 'Eva Mendes', 'Olga Merediz', 'Angelo Anthony Pizza']"
The Prestige,2006,8.5,"['Drama', 'Mystery', 'Sci-Fi', 'Thriller']",130,Christopher Nolan,"['Hugh Jackman', 'Christian Bale', 'Michael Caine', 'Piper Perabo', 'Rebecca Hall']"
The Shawshank Redemption,1994,9.3,['Drama'],142,Frank Darabont,"['Tim Robbins', 'Morgan Freeman', 'Bob Gunton', 'William Sadler', 'Clancy Brown']"
The Social Network,2010,7.7,"['Biography', 'Drama']",120,David Fincher,"['Jesse Eisenberg', 'Rooney Mara', 'Bryan Barter', 'Dustin Fitzsimons', 'Joseph Mazzello']"
Troy,2004,7.2,"['Drama', 'History']",163,Wolfgang Petersen,"['Julian Glover', 'Brian Cox', 'Nathan Jones', 'Adoni Maropis', 'Jacob Smith']"
V for Vendetta,2005,8.2,"['Action', 'Drama', 'Sci-Fi', 'Thriller']",132,James McTeigue,"['Natalie Portman', 'Hugo Weaving', 'Stephen Rea', 'Stephen Fry', 'John Hurt']"
